recipient_genome	recipient_contig	break_position (bp)	inserted_sequence
BAD	BAD	308501	AMAC_01196
BAD	BAD	420717	ARS_03086
BAD	BAD	1731249	AMAU_02632
BAD	BAD	1924222	ATM_00526
BAD	BAD	3174863	ASJ_00197
BAD	BAD	3213761	AAM_03063
BAD	BAD	3416860	ASN_04073
BAD	BAD	3441835	AMS_01785
BAD	BAD	4808409	AKV_01007
BAD	BAD	4830002	ARL_01226
BDS	BDS	170855	AMS_01465
BDS	BDS	502995	ASJ_02645
BDS	BDS	635348	ARS_02444
BDS	BDS	862231	ARL_00634
BDS	BDS	1245307	AMAC_00215
BDS	BDS	1625370	AAM_00175
BDS	BDS	2570191	AKV_00943
BDS	BDS	2630386	AMAU_02085
BDS	BDS	3108024	ATM_01561
BDS	BDS	3535035	ASN_02939
BGC	BGC	647488	ASN_01773
BGC	BGC	865644	AMAC_01576
BGC	BGC	1243240	ASJ_01651
BGC	BGC	1433985	ARS_00175
BGC	BGC	1780785	AMS_02653
BGC	BGC	2278029	AAM_00176
BGC	BGC	2394175	ARL_00442
BGC	BGC	2773077	AKV_01272
BGC	BGC	2879023	ATM_03442
BGC	BGC	3132698	AMAU_00617
BHS	BHS	68021	AMAC_01674
BHS	BHS	146550	AAM_00195
BHS	BHS	403876	ATM_02182
BHS	BHS	1314923	ASN_02864
BHS	BHS	2358033	AMS_03303
BHS	BHS	3153352	AMAU_05963
BHS	BHS	3233026	ARL_01008
BHS	BHS	3833213	AKV_01273
BHS	BHS	4198020	ARS_03177
BHS	BHS	4800741	ASJ_01197
BNM	BNM	73677	AKV_00282
BNM	BNM	120780	AMAU_02414
BNM	BNM	137054	AAM_00209
BNM	BNM	315650	ASJ_00320
BNM	BNM	391091	ATM_03557
BNM	BNM	589873	ARL_00629
BNM	BNM	1175474	AMS_03378
BNM	BNM	1511671	ASN_04445
BNM	BNM	1810366	AMAC_02914
BNM	BNM	3136014	ARS_00690
BRT	BRT	220258	ATM_02773
BRT	BRT	367705	AKV_02353
BRT	BRT	562395	AMS_01655
BRT	BRT	1092430	AMAC_03303
BRT	BRT	1138000	AMAU_00830
BRT	BRT	1909415	ARL_01194
BRT	BRT	2337515	AAM_00308
BRT	BRT	2400583	ASJ_00902
BRT	BRT	2811881	ARS_00958
BRT	BRT	3919362	ASN_03136
BSA	BSA	435	AAM_00473
BSA	BSA	145728	ASN_03987
BSA	BSA	255436	ARL_02642
BSA	BSA	1257479	ATM_00724
BSA	BSA	1442911	AMS_00937
BSA	BSA	1789418	AKV_01812
BSA	BSA	1843130	ASJ_00103
BSA	BSA	2382200	ARS_01255
BSA	BSA	2425661	AMAC_00998
BSA	BSA	2516490	AMAU_01212
BSD	BSD	640050	ASJ_00412
BSD	BSD	716643	AAM_00571
BSD	BSD	1117940	AMAC_00685
BSD	BSD	1230987	AKV_00359
BSD	BSD	1623933	ARL_03413
BSD	BSD	1659448	ARS_02706
BSD	BSD	1703638	ASN_03327
BSD	BSD	2027884	AMS_02811
BSD	BSD	2051428	ATM_03491
BSD	BSD	2267481	AMAU_02488
BSL	BSL	65098	ATM_00976
BSL	BSL	726880	ARS_00911
BSL	BSL	884915	AMAU_01255
BSL	BSL	893335	AAM_00702
BSL	BSL	1363568	AMAC_00418
BSL	BSL	1467295	AKV_00288
BSL	BSL	1966002	ASJ_01392
BSL	BSL	2480501	ARL_03240
BSL	BSL	2666051	ASN_00060
BSL	BSL	2732464	AMS_00102
BTK	BTK	413504	ATM_02037
BTK	BTK	660787	ASN_02198
BTK	BTK	1144896	ARL_03996
BTK	BTK	1171218	AMAC_02518
BTK	BTK	2498472	AMAU_04187
BTK	BTK	2515164	AKV_02380
BTK	BTK	2983571	AMS_01716
BTK	BTK	3339937	AAM_00862
BTK	BTK	3354649	ARS_02511
BTK	BTK	3550269	ASJ_03214
